usdot_number,prefix,docket_number,legal_name,dba_name,city,state
2638195,MC,,,,,
2558169,MC,892885,24-7 AUTO TRANSPORTATION,,ENGLEWOOD,NJ
2424766,MC,835770,24-7 LOGISTICS LLC,,EAST RUTHERFORD,NJ
4055849,MC,1537942,24-7 MAINTENANCE LLC,,MAHWAH,NJ
2980726,MC,14085,25-8 TRANSPORTATION LLC,,CARTERET,NJ
3021469,MC,34583,25TH STAR TRANSPORTATION LLC,,KENILWORTH,NJ
3457876,MC,1127732,2710 LINDEN LLC,,NEWARK,NJ
3102498,MC,78211,27TH MOON LIMOUSINE SERVICE LLC,,BAYONNE,NJ
3339402,MC,1065586,28 AUTO TRANSPORTATION LLC,,NEW BRUNSWICK,NJ
3232394,MC,1083393,28 MASON MATERIALS LLC,,LAKE HOPATCONG,NJ
3212454,MC,1003485,28 TRUCKING LLC,,NEWARK,NJ
4221805,MC,1631945,280 TRUCKING LLC,,NEWARK,NJ
3177844,MC,123768,287 EXPRESS LLC,,MANVILLE,NJ
,FF,31248,2A'S LOGISTICS,,LODI,NJ
3250998,MC,1023091,2A'S LOGISTICS LLC,,LODI,NJ
3915250OOS,MC,1455778,2B RUNNERS LLC,,SOMERSET,NJ
3873679,MC,1420747,2BRO TRUCKING CORP,,MAYWOOD,NJ
4060363,MC,1540516,2BROTHERSTOWING&TRANSPORTATION LLC,,PERTH AMBOY,NJ
3026432,MC,37161,2D EXPRESS LLC,,BLOOMFIELD,NJ
3343466,MC,1067568,2D LOGISTICS LLC,,HILLSIDE,NJ
,MC,68326,2E EXPRESS TRANSPORT LLC,,PERTH AMBOY,NJ
3303988,MC,1048337,2E TRANSPORT LLC,,MONROE TWP,NJ
3951124OOS,MC,1470499,2FO7 TRUCKING LLC,,VOORHEES,NJ
4180545,MC,1609462,2INFINITY TRANSPORT LLC,,JERSEY CITY,NJ
3082312,,,,,,
2930947,MC,989655,2ND CALL TRANNSPORT LLC,,HAMILTON,NJ
3139008,MC,97895,2ND CHANCE INSTALLATION LLC,,JACKSON,NJ
3522279,MC,1169569,2ND CHANCE INVESTMENTS LLC,,RAHWAY,NJ
2565946,MC,896002,2ND CHANCE TRUCKING CORP,,KEARNY,NJ
4021308,MC,1516845,2R TRANSPORT SERVICES LLC,,KENILWORTH,NJ
3114459OOS,MC,149882,2SH SERVICES LLC,,LODI,NJ
2032956,MC,950576,3 A Z TRUCKING INC,,NEW PROVIDENCE,NJ
4208500,MC,1624803,3 BROS TRANSPORTATION LLC,SAME,BROWNS MILLS,NJ
3741603,MC,1324705,3 BROTHERS EXPRESS CORP,,UNION BEACH,NJ
3539028,MC,1582462,3 BROTHERS TRUCKING CORP,,NEWARK,NJ
2833946,MC,947801,3 BROTHERS TRUCKING LLC,,UNION,NJ
1796954OOS,MC,653857,3 BROTHERS TRUCKING LLC,,NORTH BERGEN,NJ
3738072,MC,1322153,3 CHIEF TRUCKING LLC,,MIDDLESEX,NJ
2194785OOS,MC,761688,3 DOGS TRUCKING LLC,,FAIRFIELD,NJ
2221192,MC,237415,"3 G TRANSPORTATION SERVICES, INC.",,MATAWAN,NJ
2444229,MC,843377,3 GABV CORPORATION,,MANALAPAN,NJ
2009492OOS,MC,708512,3 J CAR TRANSPORT CORP,,LITTLE FERRY,NJ
3390977,MC,1089799,3 J L TRANSPORT LLC,,JERSEY CITY,NJ
2967707,MC,8423,3 J TRUCKING DELIVERY LLC,,JERSEY CITY,NJ
2572819,MC,899421,"3 J'S TRANSPORTATION, INC.",,MICKLETON,NJ
546242,MC,270231,3 J'S TRUCKING INC.,,TETERBORO,NJ
3565111,FF,45599,3 KINGZ TRANSPORTATION LLC,,JERSEY CITY,NJ
3320861,FF,34170,3 L L TRUCKING,,BRIDGETON,NJ
3748258,MC,1329522,3 L'S TRANSPORTATION LLC,,VINELAND,NJ
2585758,MC,858158,3 LITTLE MEN INCORPORATED,,FRENCHTOWN,NJ
2445646,MC,843945,3 MEN HAULING LLC,,SOUTH PLAINFIELD,NJ
4205617,MC,1623203,3 OF LIFE,,NORTH BERGEN,NJ
