usdot_number,prefix,docket_number,legal_name,dba_name,city,state
4040222,MC,1528655,B&I LOGITICS LLC,,PENNSAUKEN,NJ
2583979,MC,905214,B&J EXPRESS LLC,,GARFIELD,NJ
3877353,MC,1421429,B&J INTERNATIONAL LLC,,CAMDEN,NJ
3609914OOS,MC,1229223,B&J PACKAGE COURIER LLC,,TRENTON,NJ
,MC,705541,B&K EXPEDITORS LLC,,WILLIAMSTOWN,NJ
4031966,MC,1523568,,,,
3707726,MC,1300009,B&R LOGISTICS LLC,,ROCKAWAY,NJ
4121568,MC,1576439,B&R MOVING LLC,,PATERSON,NJ
2447090,MC,844460,B&R TRANSPORTATION LLC,,NORTH BRUNSWICK,NJ
3416620,MC,1246820,B&R XPRESS LLC,,JERSEY CITY,NJ
1463626,MC,,,,,
3685669OOS,MC,1285450,B&V HOME MANAGEMENT LLC,,OLD BRIDGE,NJ
4127506,MC,1582298,B&V LOGISTICS INC,,RIDGEFIELD PARK,NJ
,MC,1384491,B&X TRANSPORT LLC,,SUSSEX,NJ
1016840,MC,429988,B&Y TRUCKING INC.,,EAST NEWARK,NJ
3643482,MC,1252981,,,,
2029484,MC,713764,B-NASA TOWING LLC,,FLANDERS,NJ
3190013,MC,135010,B-SMART LOGISTICS LLC,,EAST WINDSOR,NJ
3997070,MC,1501202,B-STAR EXPRESS INC,,FAIR LAWN,NJ
54631,MC,30816,B. & B. TRUCKING & STORAGE CO.,,PASSAIC,NJ
783195,MC,349967,B. A. TRANSPORT INC,,LINDEN,NJ
510064,MC,260189,B. C. M. W. INC,,WILLINGBORO,NJ
57784,MC,193823,"B. C. MATERIALS AND EQUIPMENT COMPANY, INC.",,VINELAND,NJ
659305,MC,,,,,
293062,MC,168381,"B. J. & D. TRANSPORT, INC.",,SUSSEX,NJ
,MC,168648,"B. K. TRANSPORT, INC.",,EDISON,NJ
568768,MC,276225,B. L. OSBORNE TRANSPORT INC.,,KENVIL,NJ
54622,MC,134349,B. L. T. CORPORATION,,ELIZABETH,NJ
305871,MC,205336,,,,
427156,MC,237355,"B. T. I. TRANSPORT, INC.",,BRIDGEWATER,NJ
2971967,MC,166402,"B. V. GAGLIANO, INC.",,WOODRIDGE,NJ
645168,MC,358800,B. W. BICKLE SERVICES INC.,,POMPTON PLAINS,NJ
533913,MC,212743,B. W. KLECZ TRANSPORT,,DENNISVILLE,NJ
,MC,221359,,,,
2237455,MC,577665,B.T.C. TRANSPORT SYSTEMS INC,,WEST MILFORD,NJ
144846,MC,142539,"B.W.T. TRANSPORT, INC.",,NORTH BERGEN,NJ
1611438OOS,MC,595851,B1 LOGISTICS INC,,EAST WINDSOR,NJ
3416688,MC,1103268,B2R AUTO & TRUCK GROUP LLC,,MOORESTOWN,NJ
3969493,MC,1482888,B3 LOGISTICS LLC,,PATERSON,NJ
3567689,MC,1200655,B3 TRUCKING LLC,B3 TRUCKING LLC,MINOTOLA,NJ
3604379,MC,1225433,B4PATEL LOGISTIC LLC,B4PATEL LOGISTIC LLC,PISCATAWAY,NJ
3906451,,,,,,
3330869,MC,1061430,BAAJ ENTERPRISES LTD,,CARTERET,NJ
3264835,MC,1029755,BAAJ TRANSPORT LLC,,CARTERET,
2566621,MC,896358,BABA LOGISTICS LLC,,EDGEWATER PARK,NJ
2525829,MC,877265,BABA MOTORS LIMITED LIABILITY COMPANY,,TRENTON,NJ
1250060,MC,498226,BABA NANAK TRANSPORT CO,,CARTERET,NJ
2359603,MC,808520,BABA OIL LLC,,PRINCETON,NJ
1686258,MC,,,,,
4072267,MC,1547350,BABAS TRUCKING LLC,,SAYREVILLE,NJ
3249084,MC,1022107,BABAY TRUCKING LLC,,GARFIELD,NJ
54597,MC,380101,"BABB TRUCKING, CORPORATION",,LINDEN,NJ
4060635,MC,1540682,BABY ANDY DIRECT INC,,WILLINGBORO,NJ
3975600,FF,57290,BABY K TRANSPORTS LLC,,ELIZABETH,NJ
3795074,MC,1363776,BABY LOGISTICS,,HILLSBOROUGH,NJ
,MC,1508567,BABY PANDA EXPRESS LLC,,CARTERET,NJ
1761321,MC,643860,BABY SOSA TRANSPORTATION CORP,,PATERSON,NJ
3418649,MC,1104482,BABYCAT INVESTMENTS LLC,FREEDOM TRANSPORT SERVICES,SEWELL,NJ
3521310,MC,1168908,BABYLON TRANSPORTATION,,PISCATAWAY,NJ
4111622,MC,1570581,BABYWOLF ENTERPRISES LLC,,SICKLERVILLE,NJ
1985840,MC,702947,BAC TRISTATE INC,,UNION,NJ
1582203,MC,594511,BAC TRUCKING INC.,,RAHWAY,NJ
,FF,13388,BAC WORLDWIDE,,SECAUCUS,NJ
2589404,MC,908054,,,,
3716188,,,,,,
1515773,MC,709074,BAD BOY TRUCKING INC,,LEBANON,NJ
770005,MC,345477,"BAD BOY TRUCKING,  INC.",,EAST ORANGE,NJ
4183506,MC,1611098,BAD BOYS TRUCKING LLC,,PATERSON,NJ
3634276,MC,1246181,BAD COMPANY LLC,,LYNDHURST,NJ
3634276,MC,,,,,
3408212,MC,1098232,BAE TRANSPORTATION LLC,,U SADDLE RIV,NJ
3517985,MC,1166690,BAE1 LLC,,PRINCETON,NJ
,MC,1406061,BAEHR MASONRY LLC,,FLEMINGTON,NJ
4085212,MC,1555064,BAEZ & DIAZ SERVICES LLC,,EDISON,NJ
3519544,MC,1167731,,,,
4152531,MC,1594375,BAEZ TORRES TRANSPORTATION CORP,,TRENTON,NJ
4134377,MC,1583806,BAEZ TRANSPORTATION LLC,,PATERSON,NJ
3862212,MC,1411249,BAEZ TRANSPORTATION LLC,,CARTERET,NJ
3634564,MC,1246507,BAEZ TRUCK TRANSPORTING & SERVICES LLC,,ELMWOOD PARK,NJ
2512218,MC,,,,,
2359979,MC,808691,BAGWELL MOVING CORP,,MATAWAN,NJ
3739397OOS,MC,1323112,BAH TRUKING LLC,,NEWARK,NJ
1702601,MC,624922,BAHADUR SINGH,G M EXPRESS,BURLINGTON,NJ
2418066,MC,831699,"BAHIA'S TRANSPORT, LIMITED LIABILITY COMPANY",,HILLSIDE,NJ
3020471,MC,,,,,
3264751,MC,1030310,BAILEY UNITED LLC,,UNION CITY,NJ
1411011,MC,655854,BAILEY'S DELIVERY SERVICE LLC,,CHERRY HILL,NJ
184395,MC,92068,"BAILEY'S EXPRESS, INC.",,MEDFORD,NJ
2497767,MC,865443,BAIRON TRUCKING CORP,,JERSEY CITY,NJ
4100524,MC,1564102,BAIS HACHUNECH,BAIS HACHUNECH,LAKEWOOD,NJ
2830976,MC,945916,BAIS TRUCKING LLC,,NORTH BRUNSWICK,NJ
4015250,MC,1512994,BAJ TRANSPORTATION & TOWING CORP,,CLIFTON,NJ
3534146,MC,1177621,BAJA TRUCKING LLC,,LINDEN,NJ
4095361,FF,60636,BAJIM TRANSPORTATION LLC,,NEWARK,NJ
4095361,MC,1561107,BAJIM TRANSPORTATION LLC,,NEWARK,NJ
3060297,MC,1135847,BAJIMAMA TRUCKING CORPORATION,,MORRISTOWN,NJ
3857137,MC,1407823,BAJRANG TRANSPORT LLC,,N BRUNSWICK,NJ
3809653,MC,1374326,BAJWA TRANSPORT LLC,,AVENEL,NJ
296700,MC,201621,"BAKER & WARREN BUS CO., INC.",,BAYONNE,NJ
3671416,MC,1273267,BAKER CONSULTING,BAKER LOGISTICS & CONSULTING INC,RAMSEY,NJ
,MC,800040,BAKER INDUSTRIES INC,,CEDAR,NJ
2800711OOS,MC,935513,BAKER TRANSPORT LLC,,SOMERSET,NJ
2971974,MC,,,,,
3916903OOS,MC,1447603,BAKU TRANSPORTATION,,FORT LEE,NJ
1310041,MC,507820,"BAL'S ENTERPRISES USA, INC",,FAIR LAWN,NJ
1077674OOS,MC,447977,BALANCE & BALANCE CORP,,WEST NEW YORK,NJ
1624017,MC,651581,BALANCE TRUCKING LLC,,WEST ORANGE,NJ
1411369,MC,534649,BALBEN CONTRACTING LLC,,READINGTON,NJ
593615,MC,288016,"BALBI ENTERPRISES, INC.",,BLAIRSTOWN,NJ
3470501,MC,1188084,BALBOA TRUCKING LLC,,NEWARK,NJ
609200,MC,291623,"BALCO TRUCKING, INC.",,BRICK,NJ
3696674,MC,1291807,BALD CLUB LLC,,EWING,NJ
3540594OOS,MC,1240845,BALD EAGLE LOGISTINCS INC,,LINDEN,NJ
3612995,MC,1231311,BALD TRUCKING LLC,,TOMS RIVER,NJ
1840110,MC,666911,BALDWIN SAND AND GRAVEL INC,,VERNON,NJ
42352,MC,42251,BALDWIN-SCOTT HORSE TRANSPORTATION,,MARLTON,NJ
4037219,MC,1526824,BALES & BALLAST LLC,FREIGHTEVAC,ANNANDALE,NJ
1946682,MC,692677,BALIN TRANSPORT CORP,,MANVILLE,NJ
,MC,415107,BALJINDER S. BANIPAL,BANIPAL TRANSPORTATION COMPANY,EAST WINDSOR,NJ
898719,MC,390299,BALJINDER SINGH BANIPAL & GURPAL SINGH,B & G TRANSPORT COMPANY,EAST WINDSOR,NJ
2928579OOS,MC,988659,BALL TRANSPORT CORP,,ISELIN,NJ
3560106OOS,MC,1195394,BALL-STAR LOGISTICS LLC,,BURLINGTON,NJ
3319512,MC,1055975,BALL-STAR TRUCKING LLC,,BURLINGTON,NJ
605875,MC,291595,BALLEY TRANSPORTATION CORP.,,TRENTON,NJ
3257642,MC,1026387,BALOO TRUCKING LLC,,PASSAIC,NJ
2975669,MC,26495,BALSAMIC EXPRESS LLC,,CLIFTON,NJ
2002604,MC,715160,BALTIC CARGO LLC,,07114 NEWARK,NJ
4206669,MC,1623777,BALTO LOGISTICS LLC,,HADDON TOWNSHIP,NJ
2793991,MC,932324,BALTYK EXPRESS LLC,,WALLINGTON,NJ
4133725,MC,1585477,BALVIN TRUCKING LLC,TRANSPORT TRUCKING,LANDING,NJ
2525039,MC,876917,BALWAY INC,,LINDEN,NJ
609935,MC,293205,BAMAH TRANSIT CORPORATION,,EAST ORANGE,NJ
3718076,MC,1307604,BAMBA & KABA TRANSPORTATION CORP,,NEWARK,NJ
3670494,MC,1272580,BAMBA TRANSPORTATION LLC,,NEWARK,NJ
3388450,MC,1088643,BAMBAN LOGISTICS LLC,,PATERSON,NJ
3104283,MC,79297,BAMBERRY ENTERPRISE LLC,,ELIZABETH,NJ
3013884,MC,35629,BAMBOO ROAD LLC,,FORT LEE,NJ
,FF,62793,,,,
2252807OOS,MC,621094,BANAO CORP,,JERSEY CITY,NJ
3396277,MC,1092420,BAND OF BROTHERS LOGISTICS LLC,,CLIFTON,NJ
3451609,MC,1123873,BAND OF BROTHERS TRANSPORT CORP,,CLIFTON,NJ
3713935,MC,1304571,BANGA TRANSPORT INC,,BURLINGTON,NJ
3020498,MC,34100,BANGA TRUCKING LLC,,BRIDGETON,NJ
,FF,1683,"BANGERT FORWARDING, INC.",,VINELAND,NJ
3616618,MC,1233833,BANGLA TIGER LLC,,BAYONNE,NJ
2279992OOS,MC,709235,,,,
4106676,MC,1567704,BANYAN EAST INC,,SOUTH RIVER,NJ
4103500,MC,1565777,BAO TRUCKING LLC,,PERTH AMBOY,NJ
3057426,MC,53452,BAO TRUCKING LLC,,PERTH AMBOY,NJ
3333817,MC,1062871,BARAK AUTO TRANSPORT LLC,,DUMONT,NJ
1616493,MC,597480,BARAKA TRANSPORTERS LLC,,AVENEL,NJ
3506700,FF,42538,BARAKAH TRUCKING LLC,BARAKAH TRUCKING LLC,PATERSON,NJ
3506700,MC,1159349,BARAKAH TRUCKING LLC,BARAKAH TRUCKING LLC,PATERSON,NJ
940320,,,,,,
,FF,40310,BARCELO'S SHIPPING COMPANY LLC,,NEWARK,NJ
3463144,MC,1131086,BARCELO'S SHIPPING COMPANY LLC,,NEWARK,NJ
952407,MC,407742,"BARCLAY AIRPORT SERVICES, INC.",,PASSAIC,NJ
,MC,169528,"BARCLAY TRANSPORTATION SERVICES, INC.",,PASSAIC,NJ
3893648,MC,1432302,,,,
,MC,278551,BARKLEY TB INC.,,PORT NEWARK,NJ
153159,MC,376,"BARLAGE BROTHERS, INC.",,JERSEY CITY,NJ
,MC,176602,"BARMAR LIMOUSINE SERVICE, INC.",,ROCHELLE PARK,NJ
367444,MC,233531,"BARNES APPLIANCE OUTLET, INC.",,TINTON FALLS,NJ
3904252,MC,1439255,BA,,,
495575,MC,253914,"BARON TRANSPORTATION COMPANY, INC.",,VOORHEES,NJ
946464,MC,674303,BARON TRUCKING CO,,PARLIN,NJ
4043757,MC,1530740,BARONE TRANSPORT LLC,,N PLAINFIELD,NJ
3779158,MC,1352194,BARRANCOLI TRUCKING LLC,,PERTH AMBOY,NJ
3471171,MC,1136200,BARRCO ENTERPRISES LLC,,NEWARK,NJ
2861016,MC,959282,BARRERA EXPRESS LLC,,NEW MILFORD,NJ
4152838,MC,1594538,BARRERA ROJAS FAMILY TRANSPORTATION LLC,,WHARTON,NJ
2802052,MC,,,,,
2217641,MC,130335,"BARRINGTON TRAVEL, INC.",,OAKLYN,NJ
1848079,MC,669302,BARRON CARTER,CARTER FREIGHT SERVICES,TRENTON,NJ
57814,MC,133110,"BARRON TRUCKING COMPANY, INC.",,WASHINGTON,NJ
,MC,119225,"BARRON TRUCKING COMPANY, INC.,",,WASHINGTON,NJ
4031196,MC,,,,,
2397049,MC,828905,BARRY TRANS INC,,CARTERET,NJ
54569,MC,109824,BARRY TRANSP CO INC.,BARRY TRUCKING CO.,RUTHERFORD,NJ
588678,MC,287374,"BARRY TRUCKING, INC.",,MANALAPAN,NJ
2873420,MC,963817,BART'S EXPRESS LLC,,PISCATAWAY,NJ
3924965,MC,1452964,BARTEE ELITE TRUCKING SERVICES LLC,,JERSEY CITY,NJ
,FF,14807,BARTEN ENTERPRISES LLC,BARTEN BROS. JUNK & CLEAN UP,PT PLEASANT,NJ
3936486,MC,1460611,BARTEN EXPRESS TRANSPORTATION LLC,BARTEN EXPRESS,MANASQUAN,NJ
3571332,,,,,,
2896689OOS,MC,977894,BARZANO TRANSPORT LLC,,COLUMBIA,NJ
2391737OOS,MC,822120,BARZOLA EXPRESS INC,,JERSEY CITY,NJ
2412219,MC,830211,BAS TRUCK SALES INC.,BAS,CALDWELL,NJ
,MC,169237,"BASCON, INC.",EXECUTIVE LIMOUSINE,ATLANTIC CITY,NJ
2978266,MC,12726,BASE TRUCKING LLC,,NEW EGYPT,NJ
,FF,4358,BASF CORPORATION,VALUE FIRST LOGISTICS,MT. OLIVE,NJ
3681868OOS,MC,1281003,BASF LOGISTICS LLC,,S PLAINFIELD,NJ
2350546,MC,804626,BASHIR & SONS TRUCKING CORP,,EDISON,NJ
2891001,MC,970982,BASHIRU TRUCKING LLC,,NEWARK,NJ
2141830,MC,745324,BASIC TRANSPORT LLC,,ISELIN,NJ
516279,MC,236886,"BASIC TRANSPORTATION, INC.",,EDISON,NJ
401679,MC,234350,"BASIC WAREHOUSE DISTRIBUTION & TRANSPORTATION, INC.",,ELBERON,NJ
3597691,MC,1220880,BASICS TRANSPORT LLC,,UNION CITY,NJ
4147200,MC,1591303,BASILE REFRIGERATED TRANSPORT CORP,,PERTH AMBOY,NJ
2250844,MC,,,,,
,MC,87720,"BASS TRANSPORTATION CO., INC.",,FLEMINGTON,NJ
3578755OOS,MC,1208097,BASS TRUCKING LLC,,CHERRY HILL,NJ
3908218,MC,1441875,BASSA TRUCKING LLC,,WEST DEPTFORD,NJ
856880,MC,365096,BASSCO ENTERPRISES INC.,,SECAUCUS,NJ
1805053,MC,656142,,,,
3951228,MC,1470563,BATALLA TRANSPORTATION CORP,,E BRUNSWICK,NJ
3530880,MC,1175429,BATAZO TRANSPORT LLC,,ELIZABETH,NJ
1979016OOS,MC,45728,BATES EXPRESS LLC,,PINE HILL,NJ
3514836,MC,1164628,BATEY EXPRESS LLC,,07114-1426 NEWARK,NJ
2793413,MC,932088,BATI TRUCKING LLC,,LINDEN,NJ
2501916,MC,867160,BATINGA MIL CORP,,CLIFFSIDE PARK,NJ
2727378,MC,924015,BATISTA EXPRESS LLC,,PERTH AMBOY,NJ
3892392,MC,1431431,BATISTA LOGISTICS LLC,,PERTH AMBOY,NJ
3450561,MC,1123238,BATISTA TRANSPORT LLC,,SOUTH RIVER,NJ
3549643,MC,1188314,BATISTA TRANSPORTATION LLC,,SOMERSET,NJ
1463409,MC,556531,BATISTA TRUCKING LLC,,PENNSAUKER,NJ
3566023,MC,1199502,BATISTRUCK LLC,,PERTH AMBOY,NJ
1990398,MC,718707,BATMAN TRANSPORTATION LLC,,LITTLE FERRY,NJ
3623269,MC,1238469,BATMAN TRUCKING LLC,,NORTH BERGEN,NJ
2963604,MC,6172,BATO MK LLC,,GARFIELD,NJ
2945591,MC,996954,BATSHAJAR EXPRESS LLC,,ELIZABETH,NJ
2457626,MC,848818,BATTAL GROUP LLC,,WAYNE,NJ
3740506,MC,1323925,BATTAN TRANSPORT CORPORATION,,MANAHAWKIN,NJ
2939175,MC,993708,BATTAWAY TOWING LLC,,BOGOTA,NJ
462023,MC,141571,"BATTELINI TRANSPORTATION SYSTEMS, INC.",,LANDISVILLE,NJ
2057368,MC,722015,BATTELINIS GARAGE INC,,LANDISVILLE,NJ
3549114OOS,MC,1187925,BATTH TRANSPORT LLC,,BURLINGTON,NJ
4034125,MC,1524892,BATTLE GROUP. LLC,,EAST ORANGE,NJ
3829462,MC,1388605,BATTLE LOGISTICS LLC,,PARLIN,NJ
,MC,87357,BATTLE SERVICES LLC,,KDELRAN,NJ
3199968OOS,MC,166696,BATTLE SHIPS LLC,,CLARKSBORO,NJ
3209328,MC,1001856,BATTLE TRANSPORT LLC,,PARLIN,NJ
4155493,MC,1596048,BATTLEGROUP LLC,,EAST ORANGE,NJ
3657554OOS,MC,1263197,BATTS MARATHON LOGISTICS LLC,,EAST ORANGE,NJ
613645,MC,879921,BAUER AUTOMOTIVE SERVICE INC,,CHATHAM,NJ
3330611,MC,1061302,BAUER TRANSPORTATION LLC,,METUCHEN,NJ
3486197,MC,1145876,BAUGH GROUP CORP,ASAP LOGISTICS,ENGLEWOOD,NJ
,MC,208833,BAUM BUS CO.,,JERSEY CITY,NJ
129810,MC,80370,"BAUMAN BUS CORPORATION, INC.",,JERSEY CITY,NJ
3607861,MC,1227811,BAUMGARDNER FINISHINGS COMPANY LLC,,EGG HARBOR TOWNSHIP,NJ
3925224,MC,1453133,BAUTISTA & GOMERA EXPRESS LLC,,HASBROUCK HEIGHTS,NJ
3107373,MC,80853,BAUTISTA CARRIERS LLC,,BELLEVILLE,NJ
4214435,MC,1627940,BAUTISTA EXPRESS LLC,,IRVINGTON,NJ
3123297,MC,89171,BAUTISTA TRANSPORT LLC,,HACKENSACK,NJ
3548172,MC,1187299,BAVI LOGISTICS LLC,,UNION,NJ
,MC,159170,"BAVSS, INC.",,WEST ATLANTIC CITY,NJ
3850778,MC,1403546,BAWA TRANSPORT INCORPORATED,,CHERRY HILL,
1641313,MC,604686,BAY MOVERS INC,,BAYONNE,NJ
3786289,MC,1357279,BAY ONE INDUSTRIES LLC,,HACKETTSTOWN,NJ
3061517,MC,55511,BAY TRUCKING INC,,NEWARK,NJ
86410,MC,2455,"BAYARD TRUCKING CO., INC.",,ELIZABETH,NJ
4067264,MC,154,,,,
2304429,MC,786888,BAYPORT SERVICES L L C,,SADDLE RIVER,NJ
1828973,MC,734922,BAYPORT TRANSPORTATION & LEASING CORP,BAYPORT TRANSPORTATION CORP,SADDLE RIVER,NJ
887407,MC,386654,BAYRAIM A. TCHAOUCH,NEW LINE TRANSPORTATION,FAIRVIEW,NJ
2121494OOS,MC,739337,BAYSIDE LOGISTICS & SERVICES LLC,,CARTERET,NJ
,MC,285047,BAYSIDE TRANSPORTATION I NC.,,KEARNY,NJ
608145,MC,292098,BAYSIDE TRANSPORTATION INC.,,KEARNY,NJ
2995490,MC,25487,BAZORA TRANSPORTATION LLC,,PERTH AMBOY,NJ
3191325,MC,200669,BB FRAME LLC,,PALISADES PK,NJ
3218665,MC,6813,BB HULL LLC,DELVAL POOLS AND SPAS OF TURNERSVILLE,BLACKWOOD,NJ
3822872,MC,1383925,BB LOADS TRUCKING LLC,,CAMDEN,NJ
4217060,MC,1629345,BB LOADS TRUCKING LLC,,CAMDEN,NJ
647911,MC,295465,"BB WORLD TRANSFER, INC.",,RUTHERFORD,NJ
3448544,MC,1122008,BB&D BROKERAGE LLC,,TEANECK,NJ
3752492,MC,1332649,BB&EJ,BB&EJ LLC,EAST ORANGE,NJ
3599805,MC,1222300,BB'S TRANSPORTATION INC,,MONTCLAIR,NJ
3891201,MC,1430618,BB3 LOGISTICS LLC,,WESTVILLE,NJ
3659786,MC,1278861,BBB TRANSPORTATION LLC,,PATERSON,NJ
3966389OOS,MC,1480804,BBB TRUCKING LLC,,BAYONNE,NJ
2521203,MC,875253,BBC CARRIERS INC,,PLAINFIELD,NJ
2213924,MC,202849,"BBC DIRECT MARKETING SERVICES, INC.",BBC WORLDWIDE,MARLTON,NJ
4222914,MC,1632534,BBC TRANSPORT LLC,,MAYWOOD,NJ
3809201,MC,1373987,BBD TRUCKING LLC,,NEPTUNE,NJ
1256671,MC,486171,BBF TRANSPORT LLC,,SHREWSBURY,NJ
3988880,MC,1495798,BBG SURGICAL,GARDEN STATE MEDICAL SUPPLY,LAKEWOOD,NJ
4173346,MC,1605613,BBI TRANSPORT LLC,,PATERSON,NJ
4197693,MC,1618771,BBJ DISTRIBUTION LLC,,BLOOMFIELD,NJ
3835981,MC,1393225,BBJ LOGISTIC CORP,,PATERSON,NJ
1268892OOS,MC,501822,"BBJ TRANSPORT, INC.",,NEWARK,
1028748,MC,434817,"BBT LOGISTICS, INC.",,NEWARK,NJ
2222685,MC,309694,"BBT OD, INC.",,NEWARK,NJ
1003512,MC,426876,"BBTOD, INC.",,NEWARK,NJ
1801013,MC,654936,BBY LOGISTICS LLC,,SAYREVILLE,NJ
,MC,494070,,,,
3190303,MC,135462,BCABDH LLC,,BRIDGETON,NJ
2877276,MC,965738,BCC EXPRESS INC,,COLUMBIA,NJ
1764452,MC,644762,BCC TRANSPORT LLC,,PHILLIPSBURG,NJ
2478550,MC,859654,BCD ENTERPRISE LLC,OWNER,JERSEY CITY,NJ
1310234,MC,,,,,
3016382,MC,31928,BCL TRUCKING LLC,,LINDEN,NJ
1936290OOS,MC,719488,BCLG TRUCKING CORP,,IRVINGTON,NJ
2931355,MC,989871,BCM RELOCATION LLC,,CLIFTON,NJ
2270527,MC,925069,BCM TRANSPORT LLC,,BRIDGEWATER,NJ
,MC,970901,,,,
3050105,MC,49380,BDD LOGISTICS LLC,,AVENEL,NJ
3656232,MC,1262207,BDE TRUCKING LLC,,PERTH AMBOY,NJ
3651397,MC,1258725,BDF EXPRESS CORP,,SAYREVILLE,NJ
,MC,614211,"BDI LAGUNA, INC",,CARLSTADT,NJ
2953030OOS,MC,91,BDJ TOWING & RECOVERY LLC,,MONTCLAIR,NJ
3741135,MC,1324396,BDLC TRANSPORT CORP,,UNION,NJ
4163731,MC,1600435,BDM TRANSPORT LLC,,PALISADES PARK,NJ
1791687,MC,652331,BDM TRANSPORTATION LLC,,MONROE TOWNSHIP,NJ
,FF,39340,BDNS TRANSPORTATION INC,,ELIZABETH,NJ
3443618OOS,MC,1119089,BDNS TRANSPORTATION INC,,HALEDON,NJ
3787945OOS,MC,1358503,BDP ENTERPRISE LLC,,NEWARK,NJ
3739975,MC,1323542,BDR LOGISTICS LLC,,HACKENSACK,NJ
3661997,MC,1266449,BDS LOGISTICS CORP,,EDISON,NJ
3657285,MC,1262582,BDSG TRANSPORT LLC,,ISELIN,NJ
3381198,MC,,,,,
2918181,MC,983625,"BEACH X TRUCKING, LLC.",,08742 POINT PLEASANT,NJ
3937627OOS,MC,1461360,BEACHSITE LOGISTICS,,HASBROUCK HEIGHTS,NJ
,FF,4086,"BEACON INTERNATIONAL, INC.",,PORT READING,NJ
3621197OOS,MC,1236989,BEAR TRANSPORT CORP,,VINELAND,NJ
3642262,MC,1252098,BEAR'S CLAW LLC,,WEST NEW YORK,NJ
292382,MC,189244,BEAR'S EXPRESS MOVING CO INC,,MAYS LANDING,NJ
3918732,MC,1448799,BEARD BRIDGE LLC,,KEARNY,NJ
2552029,MC,889262,"BEARING, LLC",,MONTCLAIR,NJ
3986191,MC,1494055,BEARMOTIVE LLC,,LYNDHURST,NJ
2998521,MC,22823,BEARS'S CLAW LLC,,WEST NEW YORK,NJ
3671281,MC,1273161,BEARSHARELLC,BEARSHARE LOGISTICS,UNION,NJ
3560561,MC,1195698,BEAS MOVING,,PERTH AMBOY,NJ
4089111,MC,1557323,BEAST LOGISTIC INC,,CLIFTON,NJ
3811821,MC,1375967,BEAST MODE LOGISTICS LLC,,HILLSIDE,NJ
3025178,MC,36536,BEAST MODE TRUCKING LLC,,MOUNT LAUREL,NJ
3834392,MC,1392123,BEAST TRANSPORTATION LLC,,HALEDON,NJ
3820872,MC,1382575,BEAT BOX LOGISTICS LLC,,NEWARK,NJ
3725948,MC,,,,,
,MC,1590688,BEAVER HOME IMPROVEMENT LLC,BEAVER HOME IMPROVEMENTS,BURLINGTON,NJ
54573,MC,85239,"BEAVER TRUCKING CORP.,",,KINNELON,NJ
57831,MC,135136,"BEAVERBROOK MOTORS, INC.",,RUNNEMEDE,NJ
,MC,269738,"BEAVERBROOK TRANSPORT, INC.",,RUNNEMEDE,NJ
,MC,1084203,BEAVERS TRUCK PARTS,BEAVERS TRUCK PARTS,JAMESBURG,NJ
3836411,MC,1393555,BEBE AND KING EXPRESS CORP,,ENGLEWOOD,NJ
1716328,MC,629468,BEBE TRUCKING LLC,,FAIRFIELD,NJ
,MC,1347204,BEBOP EXPRESS DELIVERY LLC,,NEWARK,NJ
1124147OOS,MC,458749,BEBY USA INC.,,JERSEY CITY,NJ
3685696,MC,1283768,BEC TRANSPORT LLC,,NEWARK,NJ
3977779,MC,1488360,BECCA TRUCKING INC,,EDISON,NJ
,MC,51951,BECCO CORP,,CARTERET,NJ
,MC,542219,BECERRA E TRUCKING INC,,HACKENSACK,NJ
4025450,MC,1519418,BECERRA TRUCKING LLC,,WEEHAWKEN,NJ
2588688,MC,907694,BECK TRANSPORT,,,
,MC,234066,"BEDA AMBASSADOR ""CLASS"" 1, INC.",,GUTTENBERG,NJ
2029298,MC,1062579,BEDER TRANSPORT LLC,,GUTTENBURG,NJ
4215072,MC,1628265,BEDFORD DISTRIBUTING COMPANY LLC,,DELANCO,NJ
,MC,416550,BEDFORD TRANSPORTATION COMPANY,,LITTLE FERRY,NJ
3867148,MC,1414653,,,,
86434,MC,136366,"BEE LINE, INC.",,FAIRFIELD,NJ
1905472,MC,684016,BEE LINES TRANSPORTATION AND WAREHOUSING LLC,BEE LINES,EDISON,NJ
3792946,MC,1362171,BEE THERE TRANSPORT AND MOVING LLC,,TOMS RIVER,NJ
2229291,MC,432677,BEE-LINE EXPRESS LTD,,WALLINGTON,NJ
1464131,,,,,,
3776200,MC,1350081,BEEONTRADE INC,,NORTH BERGEN,NJ
3776200,FF,52174,BEEONTRADE INC,,NORTH BERGEN,NJ
2903465,MC,977083,"BEER BELLY BREW TOURS, LLC",,OAKLYN,NJ
127171,MC,140693,BEER TRANSPORTATION COMPANY,,VINELAND,NJ
3095610,MC,,,,,
2389686,MC,823228,BELFIORE'S TOWING & TRANSPORT,,KEARNY,NJ
910035,MC,842116,BELFIS AUTO & TRUCK REPAIR INC,,GARFIELD,NJ
3029723,MC,38721,BELFREY LLC,,ELIZABETHPORT,NJ
1688529,MC,642137,BELGA TRANSPORTATION LLC,,ELIZABETH,NJ
4080758,MC,,,,,
3794911,MC,1363650,BELILLA GROUP LLC,,FAIR LAWN,NJ
3675281,MC,1276060,BELIZARETH TRANSPORT LLC,,CARTERET,NJ
3290688,MC,1042960,BELJUL KLOBUCISTA LLC,ALBA TOWING,HOWELL,NJ
